question,option1,option2,option3
Body frame,Lean,Medium,Broad
Body weight,I tend to lose weight easily,My weight stays just right,I tend to gain weight easily
Hair texture,"Dry, prone to split","Soft, greys prematurely","Oily, thick"
Skin type,"Dry, rough, tends to crack","Soft, prone to acne, scars","Oily, thick, cold"
Limbs,Veins and ligaments are prominent,"Pinkish, flushed, warm when touched","Fleshy, soft"
Nails,"Dry, brittle","Soft, pink","Shiny, strong"
Tongue,"Rough, uneven edges",Reddish,Whitish coating
Eyeballs,"Small, fast-moving, prone to dryness","Prone to dryness and heat, sclera reddish","Big, sclera white, movement less rapid"
Joints,"Strong, sometimes crackling",Moderately strong,"Strong, bear weight well"
Bowel movement,"Dry, gas, constipation","Soft, loose stools",Thick and slimy
Locomotion speed,I am quick,Neither quick nor slow,I take my time
Teeth,"Irregular, receding gums","Yellowish, bleed, cavities","Large, white, cavities"
Memory and Grasping,"Short-lived, quick to grasp","Sharp, keen intellect","Stable, keen listener"
Thinking speed,"Quick, creative, restless, goal-oriented","Quick, calculated, competitive, impulsive","Take time, composed, laid back"
Speech,"Talk fast, often repeat",Speak clearly,"Articulate, steady"
Money matters,Quick to spend,Save and spend for needs,Prefer to save than spend
Social behavior,"Love being alone, select friends","Thoughtful, enjoy company","Mingle with anyone, committed"
Weather preference,Hot tropical,Winter and snow,Comfortable in any
Response speed,"Think quick, respond quick",Analyze then respond,"Relaxed, take time"
Perspiration,"Less, little odour","Intense, sharp odour",Moderate
Sleep,"Light sleeper","Deep sleep, wake if anxious","Sleep well, sleepy daytime"
Dreams,"Flying, stress, fear","Violent, animals","Water, melancholic"
Relationships,Fall in/out of love easily,"Intense, passionate","Affectionate, long-term"
Decisiveness,Difficult task,"Quick, determined","Take time, decide"
Appetite,Unpredictable,"Repeated small meals, variety",Hearty heavy meal
