question,option1,option2,option3
Body frame,Lean,Medium,Broad
Body weight,I tend to lose weight easily,My weight stays just right,I tend to gain weight easily
Hair texture,"Dry, prone to split","Soft, greys prematurely","Oily, thick"
Skin type,"Dry, rough, tends to crack","Soft, prone to acne, scars","Oily, thick, cold"
Limbs,Veins and ligaments are prominent,"Pinkish, flushed, warm when touched","Fleshy, soft"
Nails,"Dry, brittle","Soft, pink","Shiny, strong"
Tongue,"Rough, uneven edges",Reddish,Whitish coating
Eyeballs,"Small, fast-moving, prone to dryness","Prone to dryness and heat, sclera reddish","Big, sclera white, movement less rapid"
Joints,"Strong, sometimes crackling",Moderately strong,"Strong, bear weight well"
Bowel movement,"Dry, gas, constipation","Soft, loose stools",Thick and slimy
